author,comment,ratings,title,url,cleaned_text,length,has_emoji,label
Nguyễn Thanh Trúc,Ta nói nó hài . Bản thân t con gái nhưng rất thích xem phim hành động đánh lộn hài hài vậy á, 5/10,Truy Tìm Long Diên Hương,https://www.momo.vn/cinema/truy-tim-long-dien-huong-24588/review,ta nói nó hài bản thân tôi con gái nhưng rất thích xem phim hành động đánh lộn hài hài á,23,0,positive
Trần Công Lập,"Hên là coi ở CGV, phim gì mà nhân vật nói chả nghe cái gì, thu âm tiếng người tệ vô cùng. Mở nhạc thì ầm ầm chói tai như cái rạp xiếc khỉ, có bao nhiêu cảnh đi kéo nhau đánh đấm riết chán, hên ko rủ bạn bè coi", 2/10,Truy Tìm Long Diên Hương,https://www.momo.vn/cinema/truy-tim-long-dien-huong-24588/review,hên coi ở cgv phim gì nhân vật nói chả nghe cái gì thu âm tiếng người tệ vô cùng mở nhạc ầm ầm chói tai như cái rạp xiếc khỉ có bao nhiêu cảnh đi kéo nhau đánh đấm riết chán hên không rủ bạn bè coi,51,0,negative
Nguyễn Bảo Thoại Trinh,"phim hài, cười banh rạp =)))) Nửa tiếng đầu mình biết ai trùm cuối r. Ấn tượng nhất chắc là hai đàn em nói nhiều của đạika Cường, mở miệng câu nào mình cừ điên câu đó =))))", 7/10,Truy Tìm Long Diên Hương,https://www.momo.vn/cinema/truy-tim-long-dien-huong-24588/review,phim hài cười banh rạp = nửa tiếng đầu mình biết ai trùm cuối r ấn tượng nhất chắc hai đàn em nói nhiều của đạika cường mở miệng câu mình cười điên câu =,36,0,positive
Dương Thanh Huy,"Nếu bỏ tiền mua vé xem Phim Việt thì tui tốn chưa đầy 3 phim. Đặc biệt mấy phim của Trấn Nước hay của Huynh Lạp là tui thà tốn tiền đó đi ăn hột vịt lộn với uống bia còn thấy đời có ý nghĩa hơn!
Nhưng với Truy Tìm Long Diên Hương thì tui cảm thấy xứng đáng với giá trị đồng tiền tui bỏ ra!
Không phải vì sự xuất sắc hay nội dung mới mẻ của phim mà chính vì cách truyền tải câu chuyện của Phim rất rất thật. Lời thoại vô cùng tự nhiên và cách diễn tửng như bản chất ngoài đời của họ. Đặc biệt là cảm giác dễ chịu nhất là diễn viên rất gần gũi vì hầu như không ai Can Thiệp Thẩm Mỹ!
Tui vẫn nể và phục các bạn Action C nhất! Dám nghĩ dám làm. Chỉ đạo Võ thuật cực kì tinh tế đặc biệt đoạn đánh roi Bình Định các thế rất Bình Định dù các bạn miền nam. Nhiều bộ phim Võ Thuật Bình Định mà các nhà làm phim khác đã làm tui cứ tưởng đâu võ Tàu với võ Hàn ko à! Dù là dân Bình Định đi làm phim Bình Định!
Phim rất giải trí! Giải quyết nút thắt rất logic ko gượng gạo! Mọi người nên ủng hộ món lạ film VN", 5/10,Truy Tìm Long Diên Hương,https://www.momo.vn/cinema/truy-tim-long-dien-huong-24588/review,nếu bỏ tiền mua vé xem phim việt tui tốn chưa đầy 3 phim đặc biệt mấy phim của trấn nước hay của huynh lạp tui thà tốn tiền đi ăn hột vịt lộn uống bia còn thấy đời có ý nghĩa hơn nhưng truy tìm long diên hương tui cảm thấy xứng đáng giá trị đồng tiền tui bỏ không phải vì sự xuất sắc hay nội dung mới mẻ của phim chính vì cách truyền tải câu chuyện của phim rất rất thật lời thoại vô cùng tự nhiên cách diễn tửng như bản chất ngoài đời của họ đặc biệt cảm giác dễ chịu nhất diễn viên rất gần gũi vì hầu như không ai can thiệp thẩm mỹ tui vẫn nể phục các bạn action c nhất dám nghĩ dám làm chỉ đạo võ thuật cực kì tinh tế đặc biệt đoạn đánh roi bình định các rất bình định dù các bạn miền nam nhiều bộ phim võ thuật bình định các nhà làm phim khác làm tui cứ tưởng đâu võ tàu võ hàn không dù dân bình định đi làm phim bình định phim rất giải trí giải quyết nút thắt rất logic không gượng gạo mọi người nên ủng hộ món lạ film vn,231,0,positive
Trần Thị Thanh Sang,Phim hay và ý nghĩa. Cười rất nhiều. Có nhìu hành động đẹp mắt, 5/10,Truy Tìm Long Diên Hương,https://www.momo.vn/cinema/truy-tim-long-dien-huong-24588/review,phim hay ý nghĩa cười rất nhiều có nhìu hành động đẹp mắt,14,0,positive
Trần Gia Thuận,Phim rất hay tuy đặt rồi mà ngủ quên đi coi, 5/10,Truy Tìm Long Diên Hương,https://www.momo.vn/cinema/truy-tim-long-dien-huong-24588/review,phim rất hay tuy đặt rồi ngủ quên đi coi,11,0,positive
Đặng Ngọc Tuệ Nhi,"Rất hay luôn á mọi người. Phim vừa đủ, có tí sạnn về tính cách của ông cảnh sát còn ngoài ra ổn và đồ họa đẹp lắp nè! 😍😍😍 tuyến tình cảm rất ổn và xúc động luôn ấy", 7/10,Thám Tử Lừng Danh Conan: Dư Ảnh Của Độc Nhãn (Chiếu lại),https://www.momo.vn/cinema/conan-movie-28-24316/review,rất hay luôn á mọi người phim vừa đủ có tí sạnn về tính cách của ông cảnh sát còn ngoài ổn đồ họa đẹp lắp nè 😍 tuyến tình cảm rất ổn xúc động luôn,40,1,mixed/neutral
Nguyễn Tăng Thoại Anh,"Hình ảnh đẹp, âm thanh tốt nhưng mn nói bắn phát nào giật mình phát đó thì ko tới mức đó, kịch bản thường, càng ngày hành động càng nhiều, chưa thật sự wow", 7/10,Thám Tử Lừng Danh Conan: Dư Ảnh Của Độc Nhãn (Chiếu lại),https://www.momo.vn/cinema/conan-movie-28-24316/review,hình ảnh đẹp âm thanh tốt nhưng mọi người nói bắn phát giật mình phát không tới mức kịch bản thường càng ngày hành động càng nhiều chưa thật sự wow,35,0,mixed/neutral
Lò Quốc Huy,"Phim xem cũng tạm ổn thôi không nhiều âm mưu, nói chung là gần đây conan toàn thế, không thể máu me như hồi những movie đầu được, nếu ra 1 movie máu me nhiều âm mưu như hồi mấy movie đầu thì cực phẩm", 6/10,Thám Tử Lừng Danh Conan: Dư Ảnh Của Độc Nhãn (Chiếu lại),https://www.momo.vn/cinema/conan-movie-28-24316/review,phim xem cũng tạm ổn thôi không nhiều âm mưu nói chung gần đây conan toàn không thể máu me như hồi những movie đầu được nếu 1 movie máu me nhiều âm mưu như hồi mấy movie đầu cực phẩm,45,0,mixed/neutral
Bùi Quốc Vũ,"phần lần này cực kỳ cực kỳ nhiều sạn mà ko hiểu sao nhiều ae tung hô “ông mori sẽ trực tiếp tham gia phá án”, thậm chí ông còn chả đóng góp được gì, phân thì chỉ thua cả phần movie mấy năm ông trực tiếp làm từ đầu đến cuối như kiểu vụ ông mori bắn giống liền và mẹ hát (đếm có ai đích cũng biết mà) thua cả movie cổ dam saphie xanh ông còn hành động ngầu hơn gấp mấy lần.
Thêm nữa là:
1: ông mori vừa mất bạn thân chí cốt ngày hôm nay khóc hu hu, thái độ nghiêm trọng các kiểu, ngày hôm sau ông takagi với sato gặp 2 khứa bên nagano, ông giới thiệu “đây là đội liên danh vụ thuộc sở cảnh sát” vãi bày là đội tình bạn thân cận sát nagano”, và ca lơ ông còn vội joke độc đc à? 2 thằng bạn t lúc đó coi cũng kiểu cring cring :))))). t tưởng lúc đó ông mori phải kiểu buồn và trầm cmn tư, mất bạn hôm t nói, muốn phá án càng nhanh càng tốt.
2: vụ án phụ đi kèm vụ án chính cũng ngu nốt. có cái gây tấn công mà không chứng cứ, không bố trí ra nguyên nhân, phúc vụ cái drama, nội dung nói trước khi đi ra ngoài có rất nhiều phúc và điều muốn kể, lúc đó t đã tưởng có gì hại nó. xong về sau kết luận là nó 44 thật, ạ la sao ra hay ông bố nó bóc phét :))
3: quá nhiều nhân vật nên chả ai đến đâu, nhất là tông tóc xoăn mà t méo ấn tượng nổi, cuối cùng lỡ ra làm việc trong chính phủ gì đó rồi cũng chả đóng góp gì. sato và takagi có thay bằng ai thì cũng Z vì siêu cấp mờ nhạt.
4: tình tiết phá án siêu cấp a đuồi, có 2 cái mấu chốt là việc găng bị rách, với t vãi cả đăng ký bảo hiểm, chứ không hề có chứng quá chuẩn, thề ông kia éo nhấn lại thả ăn cho đùa, hay thằng genta ko gớm cái găng thì cũng như không, nói đúng hơn là không có chứng cứ gì quyết định. phá án kiểu 2 tình tiết hồi hồi là không đủ để thuyết phục thay hết, t chỉ cần bản sinh tố là bẻ hết các kiểu :))
5: ông thám tử cuối cùng muốn truyện tài là đừng thụ hành ai hết, ng thường đã đi tánh sát hay còn ăn lại càng ko. lm nhảm mấy cái do phút cuối làm t tiếc vì đáng lẽ đối với movie thì nên có cảnh đánh nhau máu me, kiểu ông mori chính thống chẳng đâu, nó cũng muốn diệt hung thủ thật cho bạn mình, như kiểu cũng không ra tay vì tư cách của 1 người từng làm cảnh sát ko cho phép ông làm mấy việc trái đạo lý", 2/10,Thám Tử Lừng Danh Conan: Dư Ảnh Của Độc Nhãn (Chiếu lại),https://www.momo.vn/cinema/conan-movie-28-24316/review,phần lần cực kỳ cực kỳ nhiều sạn không hiểu sao nhiều ae tung hô “ông mori sẽ trực tiếp tham gia phá án” thậm chí ông còn chả đóng góp được gì phân chỉ thua cả phần movie mấy năm ông trực tiếp làm từ đầu đến cuối như kiểu vụ ông mori bắn giống liền mẹ hát đếm có ai đích cũng biết thua cả movie cổ dam saphie xanh ông còn hành động ngầu hơn gấp mấy lần thêm nữa 1 ông mori vừa mất bạn thân chí cốt ngày hôm nay khóc hu hu thái độ nghiêm trọng các kiểu ngày hôm sau ông takagi sato gặp 2 khứa bên nagano ông giới thiệu “đây đội liên danh vụ thuộc sở cảnh sát” vãi bày đội tình bạn thân cận sát nagano” ca lơ ông còn vội joke độc được 2 thằng bạn tôi lúc coi cũng kiểu cring cring tôi tưởng lúc ông mori phải kiểu buồn trầm cmn tư mất bạn hôm tôi nói muốn phá án càng nhanh càng tốt 2 vụ án phụ đi kèm vụ án chính cũng ngu nốt có cái gây tấn công không chứng cứ không bố trí nguyên nhân phúc vụ cái drama nội dung nói trước đi ngoài có rất nhiều phúc điều muốn kể lúc tôi tưởng có gì hại nó xong về sau kết luận nó 44 thật ạ la sao hay ông bố nó bóc phét 3 quá nhiều nhân vật nên chả ai đến đâu nhất tông tóc xoăn tôi méo ấn tượng nổi cuối cùng lỡ làm việc chính phủ gì rồi cũng chả đóng góp gì sato takagi có thay bằng ai cũng z vì siêu cấp mờ nhạt 4 tình tiết phá án siêu cấp a đuồi có 2 cái mấu chốt việc găng bị rách tôi vãi cả đăng ký bảo hiểm không hề có chứng quá chuẩn thề ông kia éo nhấn lại thả ăn cho đùa hay thằng genta không gớm cái găng cũng như không nói đúng hơn không có chứng cứ gì quyết định phá án kiểu 2 tình tiết hồi hồi không đủ thuyết phục thay hết tôi chỉ cần bản sinh tố bẻ hết các kiểu 5 ông thám tử cuối cùng muốn truyện tài đừng thụ hành ai hết người thường đi tánh sát hay còn ăn lại càng không lm nhảm mấy cái do phút cuối làm tôi tiếc vì đáng lẽ đối movie nên có cảnh đánh nhau máu me kiểu ông mori chính thống chẳng đâu nó cũng muốn diệt hung thủ thật cho bạn mình như kiểu cũng không tay vì tư cách của 1 người làm cảnh sát không cho phép ông làm mấy việc trái đạo lý,509,0,negative
